country,state,city,location_x,location_y
United States,Illinois,Homewood,-87.666231,41.562264
United States,South Carolina,Surfside Beach,-78.974364,33.6069616
United States,Mississippi,Madison ,-90.114634,32.460885
United States,Massachusetts,Turners Falls,-72.559612,42.606069
United States,Massachusetts,Ashland,-71.461538,42.260027
United States,Pennsylvania,Easton ,-75.206274,40.689778
United States,Pennsylvania,Chambersburg,-77.662435,39.938459
United States,Wisconsin,Janesville,-89.023298,42.681669
United States,Nebraska,Cozad ,-99.990115,40.8606228
United States,Nebraska,Scottsbluff,-103.66253,41.864268
United States,Tennessee,Carthage,-85.946185,36.2233523
United States,Tennessee,Murfreesboro ,-86.416062,35.852209
United States,Washington,Seattle ,-122.3576,47.637172
United States,Georgia,Macon,-83.646551,32.833797
United States,Minnesota,Wabasha ,-92.032633,44.384124
United States,Maryland,Bethesda ,-77.09989,38.986761
United States,Maryland,North Potomac,-77.117929,39.049352
United States,Wisconsin,South Milwaukee ,-87.862688,42.9107287
United States,Georgia,Millen ,-81.936127,32.802685
United States,Virginia,Abingdon ,-81.97716,36.708863
United States,Iowa,Sioux City,-96.408445,42.490552
United States,Pennsylvania,Huntingdon,-78.01723,40.485653
United States,Connecticut,Norfolk,-73.197873,41.990739
United States,North Carolina,King ,-80.341178,36.276367
United States,Florida,Pinecrest,-80.285895,25.669124
United States,Washington,Colville,-117.90522,48.543279
United States,Nevada,Reno ,-119.82764,39.514749
United States,North Carolina,Shallotte,-78.386035,33.975058
United States,North Carolina,Beaufort,-76.663201,34.719572
United States,Michigan,Lapeer ,-83.309076,43.053482
United States,New York,Larchmont,-73.760008,40.933512
United States,New York,New Rochelle,-73.791017,40.93357
United States,New York,Rye,-73.686043,40.983895
United States,New York,Brooklyn,-73.943291,40.724358
United States,New York,Manhattan,-73.959645,40.801254
United States,Florida,Miami,-80.291066,25.704072
United States,Indiana,Terre Haute,-87.37607,39.464145
United States,Illinois,DeKalb,-88.752032,41.931127
United States,Tennessee,Nashville,-86.764338,36.172268
United States,Maine,Kittery ,-70.736542,43.090021
United States,Tennessee,Maryville,-83.969504,35.756987
United States,Iowa,Ames,-93.614943,42.025222
United States,Indiana,West Lafayette,-86.915836,40.461469
United States,Georgia,Waycross,-82.381851,31.235752
United States,Oregon,Wallowa,-117.52864,45.570355
United States,California,Los Angeles,-118.21309,34.07348
United States,Oklahoma,Woodward,-99.39578,36.4314963
United States,California,Napa,-122.28513,38.301189
United States,Georgia,Mableton,-84.575384,33.826085
United States,West Virginia,Hurricane,-81.99554,38.441892
United States,North Carolina,Charlotte,-80.908718,35.1867102
United States,Texas,Friendswood,-95.191302,29.520767
United States,Iowa,Des Moines,-93.660454,41.599698
United States,Pennsylvania,Pittsburgh,-79.944435,40.459005
United States,Kansas,Belleville ,-97.630924,39.822988
United States,Delaware,Dover,-75.526229,39.1576541
United States,Massachusetts,Somerville,-71.091856,42.396251
United States,Massachusetts,Somerville,-71.131331,42.407206
United States,California,Rolling Hills Estates ,-118.37372,33.779336
United States,South Carolina,Little River,-78.640489,33.880648
United States,South Carolina,Conway,-79.044831,33.833331
United States,South Carolina,Myrtle Beach ,-78.939009,33.6699343
United States,South Carolina,Georgetown,-79.281782,33.3662089
United States,Massachusetts,Petersham,-72.186669,42.488744
United States,Maine,Bangor,-68.771649,44.8039587
United States,Massachusetts,Carver,-70.769182,41.888852
United States,Virginia,Suffolk,-76.581989,36.737572
United States,Montana,Anaconda,-113.1391,46.099059
United States,Washington,Edmonds,-122.37678,47.811264
United States,Wisconsin,Shorewood,-87.898448,43.091905
United States,Michigan,Plainwell ,-85.650721,42.452003
United States,Wisconsin,Monroe,-89.639224,42.601889
United States,Washington,Vashon,-122.46075,47.447921
United States,Pennsylvania,Bethlehem,-75.378402,40.6098058
United States,North Carolina,Morganton,-81.688488,35.7466269
United States,Montana,Twin Bridges ,-112.33373,45.542747
United States,Iowa,Ida Grove,-95.470874,42.345173
United States,Iowa,Iowa Falls,-93.264356,42.521222
United States,Iowa,Eldora,-93.100656,42.36051
United States,Georgia,East Point ,-84.442141,33.679488
United States,Alaska,Anchorage,-149.73118,61.208991
United States,California,Oxnard,-119.18027,34.19798
United States,North Carolina,Edenton,-76.607401,36.062086
